# k Pk
2.001565759567167091e-02 5.324513857032830856e+04
2.019685545561234960e-02 5.314125734059687966e+04
2.037969366457928824e-02 5.303219369928844390e+04
2.056418707233356041e-02 5.291793583346475498e+04
2.075035066306825035e-02 5.279847474871228042e+04
2.093819955662544474e-02 5.267380438020559814e+04
2.112774900972419490e-02 5.254392170334683033e+04
2.131901441719966095e-02 5.240882684361493739e+04
2.151201131325348320e-02 5.226852318523450958e+04
2.170675537271541874e-02 5.212301747825637722e+04
2.190326241231637175e-02 5.197231994362130354e+04
2.210154839197306029e-02 5.181644437575962365e+04
2.230162941608423294e-02 5.165540824226231780e+04
2.250352173483864682e-02 5.148923278014346579e+04
2.270724174553482438e-02 5.131794308820002334e+04
2.291280599391285616e-02 5.114156821496182965e+04
2.312023117549822163e-02 5.096014124171580625e+04
2.332953413695774969e-02 5.077369936007967044e+04
2.354073187746785062e-02 5.058228394359679805e+04
2.375384155009517551e-02 5.038594061282027542e+04
2.396888046318977616e-02 5.018471929335656750e+04
2.418586608179083830e-02 4.997867426634272852e+04
2.440481602904513367e-02 4.976786421083977621e+04
2.462574808763834736e-02 4.955235223763541580e+04
2.484868020123939814e-02 4.933220591396593227e+04
2.507363047595775191e-02 4.910749727868547052e+04
2.530061718181393984e-02 4.887830284743550874e+04
2.552965875422343739e-02 4.864470360739471653e+04
2.576077379549398388e-02 4.840678500122081459e+04
2.599398107633639488e-02 4.816463689983373479e+04
2.622929953738906486e-02 4.791835356372837123e+04
2.646674829075629579e-02 4.766803359255101532e+04
2.670634662156059699e-02 4.741377986272145790e+04
2.694811398950893583e-02 4.715569945293528872e+04
2.719207003047320256e-02 4.689390355743744294e+04
2.743823455808502149e-02 4.662850738701673254e+04
2.768662756534500877e-02 4.635963005773374607e+04
2.793726922624651873e-02 4.608739446745959140e+04
2.819017989741412836e-02 4.581192716037040373e+04
2.844538011975698139e-02 4.553335817961027351e+04
2.870289062013711007e-02 4.525182090840705496e+04
2.896273231305280388e-02 4.496745189999473951e+04
2.922492630233720912e-02 4.468039069676843064e+04
2.948949388287237447e-02 4.439077963916638691e+04
2.975645654231881543e-02 4.409876366484462778e+04
3.002583596286065651e-02 4.380449009877540811e+04
3.029765402296659416e-02 4.350810843496584130e+04
3.057193279916685380e-02 4.320977011055402545e+04
3.084869456784623126e-02 4.290962827309828572e+04
3.112796180705330526e-02 4.260783754192593187e+04
3.140975719832603263e-02 4.230455376445754518e+04
3.169410362853392060e-02 4.199993376846167666e+04
3.198102419173689398e-02 4.169413511123198259e+04
3.227054219106093025e-02 4.138731582670396892e+04
3.256268114059061858e-02 4.107963417155085335e+04
3.285746476727902099e-02 4.077124837130722881e+04
3.315491701287470033e-02 4.046231636757468368e+04
3.345506203586624122e-02 4.015299556735633087e+04
3.375792421344427779e-02 3.984344259555253666e+04
3.406352814348143770e-02 3.953381305162752687e+04
3.437189864653011906e-02 3.922426127142032055e+04
3.468306076783838482e-02 3.891494009503370762e+04
3.499703977938401628e-02 3.860600064168064273e+04
3.531386118192710033e-02 3.829759209230745182e+04
3.563355070708117828e-02 3.798986148074327502e+04
3.595613431940311577e-02 3.768295349404685112e+04
3.628163821850179799e-02 3.737701028263599437e+04
3.661008884116610795e-02 3.707217128069124010e+04
3.694151286351207014e-02 3.676857303722606594e+04
3.727593720314940212e-02 3.646634905810967030e+04
3.761338902136766860e-02 3.616562965921765135e+04
3.795389572534232925e-02 3.586654183077112248e+04
3.829748497036071508e-02 3.556920911280612199e+04
3.864418466206807901e-02 3.527375148159566015e+04
3.899402295873404672e-02 3.498028524672446656e+04
3.934702827353957905e-02 3.468892295839598955e+04
3.970322927688468145e-02 3.439977332443005434e+04
4.006265489871692342e-02 3.411294113629269123e+04
4.042533433088103118e-02 3.382852720338464860e+04
4.079129702948982444e-02 3.354662829470620636e+04
4.116057271731663608e-02 3.326733708691163338e+04
4.153319138620929774e-02 3.299074211767107045e+04
4.190918329952595528e-02 3.271692774316927171e+04
4.228857899459306791e-02 3.244597409849179530e+04
4.267140928518562554e-02 3.217795705958221879e+04
4.305770526402972337e-02 3.191294820539729335e+04
4.344749830532784046e-02 3.165101477884380802e+04
4.384082006730700282e-02 3.139221964505191499e+04
4.423770249479005989e-02 3.113662124552419846e+04
4.463817782179014398e-02 3.088427354670173736e+04
4.504227857412858999e-02 3.063522598150498743e+04
4.545003757207669720e-02 3.038952338244263592e+04
4.586148793302132626e-02 3.014720590493396958e+04
4.627666307415461561e-02 2.990830893956153886e+04
4.669559671518801885e-02 2.967286301206144708e+04
4.711832288109096128e-02 2.944089366996828176e+04
4.754487590485438619e-02 2.921242135496218907e+04
4.797529043027910084e-02 2.898746126011516026e+04
4.840960141478949097e-02 2.876602317140554442e+04
4.884784413227269417e-02 2.854811129306107614e+04
4.929005417594355815e-02 2.833372405650312794e+04
4.973626746123539083e-02 2.812285391289903782e+04
5.018652022871687018e-02 2.791548710958377706e+04
5.064084904703553686e-02 2.771160345088633039e+04
5.109929081588780730e-02 2.751117604419278359e+04
5.156188276901591677e-02 2.731417103239195058e+04
5.202866247723185456e-02 2.712054731418461961e+04
5.249966785146888831e-02 2.693025625408918859e+04
5.297493714586064967e-02 2.674324138434682754e+04
5.345450896084801007e-02 2.655943810131487407e+04
5.393842224631408000e-02 2.637877335933706127e+04
5.442671630474769234e-02 2.620116536549089869e+04
5.491943079443554337e-02 2.602652327903499099e+04
5.541660573268307466e-02 2.585474691980726493e+04
5.591828149906458156e-02 2.568572649025622013e+04
5.642449883870279126e-02 2.551934231621905565e+04
5.693529886557818082e-02 2.535546461198455290e+04
5.745072306586808397e-02 2.519395327559252109e+04
5.797081330131610005e-02 2.503465772071609899e+04
5.849561181263205484e-02 2.487741675184485212e+04
5.902516122292277706e-02 2.472205848982130919e+04
5.955950454115378767e-02 2.456840035507876382e+04
6.009868516564238067e-02 2.441624911616837926e+04
6.064274688758236609e-02 2.426540101133998905e+04
6.119173389460079437e-02 2.411564195104255487e+04
6.174569077434671760e-02 2.396674780922221180e+04
6.230466251811245249e-02 2.381848481120567521e+04
6.286869452448773377e-02 2.367061002575184830e+04
6.343783260304700078e-02 2.352287196851952467e+04
6.401212297806983809e-02 2.337501132372028951e+04
6.459161229229520851e-02 2.322676179009169573e+04
6.517634761070972838e-02 2.307785105652088896e+04
6.576637642437026254e-02 2.292800191166560398e+04
6.636174665426097796e-02 2.277693349074548314e+04
6.696250665518534151e-02 2.262436266130807780e+04
6.756870521969346455e-02 2.247000554820421530e+04
6.818039158204500239e-02 2.231357919623970156e+04
6.879761542220777515e-02 2.215480336700560292e+04
6.942042686989269296e-02 2.199340246424043289e+04
7.004887650862513804e-02 2.182910757975545130e+04
7.068301537985341443e-02 2.166165864948295712e+04
7.132289498709414033e-02 2.149080670661172917e+04
7.196856730011520764e-02 2.131631621608910064e+04
7.262008475915671113e-02 2.113796747203422274e+04
7.327750027919011089e-02 2.095555903687238606e+04
7.394086725421585016e-02 2.076891019831538142e+04
7.461023956159978932e-02 2.057786341774248649e+04
7.528567156644912217e-02 2.038228674114173555e+04
7.596721812602788559e-02 2.018207614162272512e+04
7.665493459421224287e-02 1.997715776068227933e+04
7.734887682598620695e-02 1.976749001396436870e+04
7.804910118197806723e-02 1.955306552627832207e+04
7.875566453303804726e-02 1.933391286019314794e+04
7.946862426485712394e-02 1.911009800267398168e+04
8.018803828262767441e-02 1.888172557502212658e+04
8.091396501574657507e-02 1.864893973287000699e+04
8.164646342256072498e-02 1.841192472519336661e+04
8.238559299515553491e-02 1.817090508425215012e+04
8.313141376418657635e-02 1.792614542205196994e+04
8.388398630375530629e-02 1.767794981330707742e+04
8.464337173632882627e-02 1.742666074993554139e+04
8.540963173770407812e-02 1.717265765775858017e+04
8.618282854201690657e-02 1.691635497221597689e+04
8.696302494679672423e-02 1.665819977643543461e+04
8.775028431806683460e-02 1.639866901176776446e+04
8.854467059549087082e-02 1.613826627777299655e+04
8.934624829756569742e-02 1.587751824544569536e+04
9.015508252686163515e-02 1.561697071402749498e+04
9.097123897530998149e-02 1.535718434789234561e+04
9.179478392953833998e-02 1.509873013553128294e+04
9.262578427625420274e-02 1.484218461744300112e+04
9.346430750767741047e-02 1.458812493361258566e+04
9.431042172702186477e-02 1.433712374411137898e+04
9.516419565402661762e-02 1.408974407809546028e+04
9.602569863053707355e-02 1.384653416707146789e+04
9.689500062613692899e-02 1.360802231774337815e+04
9.777217224383098759e-02 1.337471187810360061e+04
9.865728472577933728e-02 1.314707634779353066e+04
9.955040995908344403e-02 1.292555468029183248e+04
1.004516204816246899e-01 1.271054682039668296e+04
1.013609894879559381e-01 1.250240951600478729e+04
1.022785908352460971e-01 1.230145243862904681e+04
1.032044990492786141e-01 1.210793464274362123e+04
1.041387893305043416e-01 1.192206139019700822e+04
1.050815375601493046e-01 1.174398136288063688e+04
